types,counts,probs,total_unique
Michael,82008,0.047169339239278796,4742
David,63718,0.036649301990639524,4742
John,60929,0.035045125725661125,4742
James,60693,0.03490938330954965,4742
Robert,58211,0.03348178722146203,4742
William,36956,0.02125634207549004,4742
Mark,35420,0.020372866011306882,4742
Richard,32987,0.01897345372995427,4742
Christopher,31459,0.018094579103605398,4742
Brian,29939,0.017220305915090817,4742
Jeffrey,28368,0.016316698560382654,4742
Thomas,27437,0.015781206232417473,4742
Timothy,26507,0.01524628908418158,4742
Scott,26033,0.014973653892500058,4742
Steven,25493,0.014663056838685668,4742
Joseph,25403,0.014611290663049937,4742
Kevin,23871,0.013730115317783925,4742
Daniel,22015,0.012662581740229278,4742
Paul,21871,0.012579755859212107,4742
Charles,21574,0.012408927479614192,4742
Anthony,20233,0.011637611462641789,4742
Eric,18508,0.010645426429623597,4742
Kenneth,18085,0.010402125404135657,4742
Matthew,15836,0.00910854619297165,4742
Ronald,15423,0.008870996964776568,4742
Gregory,15405,0.008860643729649422,4742
Stephen,14764,0.008491953523177154,4742
Todd,14659,0.008431559651602135,4742
Donald,13368,0.007689002621094026,4742
Patrick,13064,0.00751414798339111,4742
Edward,12287,0.007067233333735959,4742
Gary,11982,0.006891803516303757,4742
Douglas,11411,0.006563375890881503,4742
Andrew,10565,0.006076773839905625,4742
Keith,9868,0.005675873568593347,4742
George,9389,0.005400362478265396,4742
Sean,9178,0.005278999555386069,4742
Larry,8234,0.004736029890940172,4742
Peter,8127,0.004674485659906579,4742
Troy,7981,0.004590509419430837,4742
Craig,7866,0.004524363750562957,4742
Rodney,7511,0.004320174946666459,4742
Shawn,7478,0.004301194015600024,4742
Jerry,7450,0.0042850889831800194,4742
Dennis,7403,0.004258055535903581,4742
Jeffery,7224,0.004155098364361404,4742
Jason,7154,0.00411483578331139,4742
Terry,7092,0.004079174640095664,4742
Frank,6896,0.003966439413155626,4742
Raymond,6881,0.003957811717216337,4742
Bryan,6253,0.0035965988472247867,4742
Tony,5878,0.003380906448742571,4742
Jonathan,5812,0.003342944586609701,4742
Randy,5712,0.00328542661368111,4742
Roger,5184,0.0029817317166181503,4742
Russell,5099,0.002932841439628848,4742
Bradley,4806,0.0027643137789480766,4742
Jose,4794,0.0027574116221966457,4742
Carl,4643,0.0026705594830744735,4742
Darren,4643,0.0026705594830744735,4742
Bruce,4488,0.002581406625035158,4742
Gerald,4475,0.002573929288554441,4742
Wayne,4259,0.002449690467028685,4742
Chris,4252,0.002445664208923683,4742
Jon,4210,0.002421506660293675,4742
Samuel,4121,0.0023703156643872293,4742
Lawrence,4102,0.002359387249530797,4742
Martin,4077,0.0023450077562986492,4742
Johnny,4054,0.0023317786225250737,4742
Ricky,4038,0.002322575746856499,4742
Phillip,3984,0.00229151604147506,4742
Danny,3982,0.002290365682016488,4742
Vincent,3982,0.002290365682016488,4742
Alan,3980,0.0022892153225579164,4742
Curtis,3853,0.002216167496938606,4742
Billy,3812,0.0021925851280378836,4742
Jimmy,3810,0.0021914347685793117,4742
Dean,3803,0.0021874085104743105,4742
Randall,3751,0.002157499164551443,4742
Joel,3683,0.0021183869429600016,4742
Bobby,3630,0.0020879024173078484,4742
Philip,3620,0.002082150620014989,4742
Walter,3591,0.0020654704078656976,4742
Marc,3539,0.0020355610619428306,4742
Joe,3526,0.002028083725462114,4742
Darrell,3449,0.001983794886307099,4742
Jay,3431,0.0019734416511799527,4742
Aaron,3427,0.0019711409322628087,4742
Steve,3411,0.0019619380565942344,4742
Jeff,3280,0.0018865895120577802,4742
Dale,3259,0.0018745107377427762,4742
Glenn,3244,0.0018658830418034876,4742
Mike,3217,0.001850353189112768,4742
Roy,3179,0.0018284963593999035,4742
Henry,3132,0.0018014629121234657,4742
Willie,3110,0.0017888089580791757,4742
Kelly,3059,0.0017594747918855944,4742
Arthur,3041,0.0017491215567584481,4742
Benjamin,3021,0.0017376179621727298,4742
Allen,2965,0.0017054078973327191,4742
Victor,2942,0.0016921787635591431,4742
Albert,2920,0.001679524809514853,4742
Brent,2920,0.001679524809514853,4742
Chad,2919,0.0016789496297855673,4742
Brett,2901,0.0016685963946584208,4742
Lee,2872,0.0016519161825091296,4742
Barry,2856,0.001642713306840555,4742
Harold,2834,0.001630059352796265,4742
Louis,2710,0.0015587370663648124,4742
Jack,2695,0.0015501093704255236,4742
Tracy,2656,0.0015276773609833733,4742
Juan,2626,0.001510421969104796,4742
Frederick,2611,0.0015017942731655074,4742
Micheal,2603,0.00149719283533122,4742
Ronnie,2599,0.0014948921164140766,4742
Derrick,2592,0.0014908658583090751,4742
Nicholas,2562,0.001473610466430498,4742
Reginald,2553,0.0014684338488669248,4742
Adam,2543,0.0014626820515740656,4742
Shane,2514,0.0014460018394247742,4742
Carlos,2498,0.0014367989637561998,4742
Derek,2462,0.001416092493501907,4742
Kurt,2453,0.0014109158759383338,4742
Tommy,2368,0.0013620255989490316,4742
Erik,2366,0.0013608752394904597,4742
Eugene,2366,0.0013608752394904597,4742
Ralph,2324,0.0013367176908604516,4742
Leonard,2259,0.0012993310084568675,4742
Marvin,2255,0.001297030289539724,4742
Ernest,2243,0.001290128132788293,4742
Ryan,2170,0.0012481400125504217,4742
Eddie,2167,0.001246414473362564,4742
Howard,2156,0.001240087496340419,4742
Jesse,2150,0.0012366364179647036,4742
Antonio,2146,0.0012343356990475599,4742
Stanley,2146,0.0012343356990475599,4742
Dwayne,2084,0.0011986745558318335,4742
