types,counts,probs,total_unique
Emma,18688,0.011077908736479385,18029
Olivia,17921,0.010623244994993957,18029
Ava,14924,0.00884667754619105,18029
Isabella,14464,0.008573997857686099,18029
Sophia,13928,0.008256266742384678,18029
Charlotte,12940,0.0076705981940305675,18029
Mia,12642,0.007493949178433882,18029
Amelia,12301,0.007291810539781299,18029
Harper,10582,0.006272818399476929,18029
Evelyn,10376,0.006150705321581234,18029
Abigail,9796,0.005806891801292383,18029
Emily,8656,0.005131120399345331,18029
Elizabeth,8513,0.005046352583136184,18029
Mila,8126,0.004816945975633106,18029
Ella,8055,0.004774858458494298,18029
Avery,8053,0.004773672894631233,18029
Sofia,7621,0.004517591100209193,18029
Camila,7473,0.004429859374342382,18029
Aria,7394,0.004383029601751315,18029
Scarlett,7182,0.004257359832266425,18029
Victoria,7089,0.004202231112633902,18029
Madison,7036,0.004170813670262679,18029
Luna,6897,0.004088416981779662,18029
Grace,6724,0.003985865707624539,18029
Chloe,6626,0.003927773078334354,18029
Penelope,6474,0.003837670224741414,18029
Layla,6468,0.0038341135331522187,18029
Riley,5976,0.003542464822838228,18029
Zoey,5899,0.0034968206141102252,18029
Nora,5799,0.0034375424209569755,18029
Lily,5706,0.003382413701324453,18029
Eleanor,5694,0.003375300318146063,18029
Hannah,5629,0.00333676949259645,18029
Lillian,5534,0.0032804552091008623,18029
Addison,5203,0.0030842443897636045,18029
Aubrey,5190,0.003076538224653682,18029
Ellie,5190,0.003076538224653682,18029
Stella,5121,0.003035636271377939,18029
Natalie,5095,0.0030202239411580944,18029
Zoe,5062,0.0030006621374175217,18029
Leah,4995,0.0029609457480048442,18029
Hazel,4916,0.0029141159754137768,18029
Violet,4794,0.0028417965797668115,18029
Aurora,4785,0.002836461542383019,18029
Savannah,4745,0.002812750265121719,18029
Audrey,4662,0.0027635493648045214,18029
Brooklyn,4611,0.0027333174862963637,18029
Bella,4518,0.002678188766663841,18029
Claire,4379,0.0025957920781808233,18029
Skylar,4378,0.002595199296249291,18029
Lucy,4354,0.002580972529892511,18029
Paisley,4333,0.002568524109330328,18029
Everly,4313,0.0025566684706996782,18029
Anna,4145,0.002457081106202218,18029
Caroline,4136,0.0024517460688184257,18029
Nova,4124,0.0024446326856400356,18029
Genesis,4068,0.0024114368974742155,18029
Emilia,4020,0.0023829833647606553,18029
Kennedy,3924,0.0023260762993335352,18029
Samantha,3897,0.0023100711871821577,18029
Maya,3882,0.0023011794582091702,18029
Willow,3881,0.002300586676277638,18029
Kinsley,3856,0.002285767127989325,18029
Naomi,3821,0.0022650197603856876,18029
Aaliyah,3811,0.0022590919410703627,18029
Elena,3758,0.00222767449869914,18029
Sarah,3734,0.00221344773234236,18029
Ariana,3715,0.0022021848756432426,18029
Allison,3678,0.00218025194417654,18029
Gabriella,3677,0.0021796591622450074,18029
Alice,3643,0.0021595045765729023,18029
Madelyn,3634,0.00215416953918911,18029
Cora,3574,0.00211860262329716,18029
Ruby,3552,0.0021055614208034448,18029
Eva,3542,0.0020996336014881198,18029
Serenity,3517,0.0020848140531998073,18029
Autumn,3471,0.002057546084349312,18029
Adeline,3463,0.0020528038288970523,18029
Hailey,3449,0.002044504881855597,18029
Gianna,3429,0.002032649243224947,18029
Valentina,3416,0.0020249430781150244,18029
Isla,3393,0.002011309093689777,18029
Eliana,3373,0.001999453455059127,18029
Quinn,3369,0.001997082327332997,18029
Nevaeh,3359,0.001991154508017672,18029
Ivy,3256,0.0019300979690698244,18029
Sadie,3247,0.001924762931686032,18029
Piper,3202,0.0018980877447670693,18029
Lydia,3184,0.0018874176699994842,18029
Alexa,3053,0.0018097632369687266,18029
Josephine,3023,0.0017919797790227517,18029
Emery,2993,0.0017741963210767765,18029
Julia,2989,0.0017718251933506466,18029
Delilah,2982,0.001767675719829919,18029
Arianna,2956,0.001752263389610074,18029
Vivian,2956,0.001752263389610074,18029
Kaylee,2938,0.001741593314842489,18029
Sophie,2929,0.0017362582774586965,18029
Brielle,2919,0.0017303304581433715,18029
Madeline,2897,0.0017172892556496565,18029
Peyton,2896,0.001716696473718124,18029
Rylee,2886,0.001710768654402799,18029
Clara,2877,0.0017054336170190063,18029
Hadley,2861,0.0016959491061144863,18029
Melanie,2841,0.0016840934674838364,18029
Mackenzie,2810,0.0016657172276063287,18029
Reagan,2803,0.0016615677540856013,18029
Adalynn,2801,0.0016603821902225363,18029
Liliana,2773,0.0016437842961396262,18029
Aubree,2767,0.0016402276045504312,18029
